"","No","ID","Latitude","Longitude","Tricho_g.c._L_seawater","UCYN_A1_g.c._L_seawater","GammaA_g.c._L_seawater","Temperature","Desired_Depth..m.","log_Tricho","log_UCYN_A1","log_GammaA"
"21",1222,"FIG_UW_DNA_1222",33.9745199166667,-69.5843441388889,20441.2569432037,0,0,"27.1033333333333",5,4.31052884272827,0,0
"22",1222,"FIG_UW_DNA_1222",33.9745199166667,-69.5843441388889,31072.5247213523,0,0,"27.1033333333333",5,4.49239051879123,0,0
"23",1223,"FIG_UW_DNA1223",34.0933791111111,-69.7304936388889,8052.84552845528,0,0,"27.4616666666667",5,3.90600329564851,0,0
"24",1223,"FIG_UW_DNA1223",34.0933791111111,-69.7304936388889,9743.90243902439,0,0,"27.4616666666667",5,3.98877749554133,0,0
"25",1304,"FIG_UW_DNA_16",37.3226703055556,-73.5161701666667,12928.5,39358960.875,16178.90625,"27.48",5,4.11158173049218,7.59504363503611,4.20897600088406
"26",1304,"FIG_UW_DNA_16",37.3226703055556,-73.5161701666667,22928.34375,50699756.25,6058.40625,"27.48",5,4.360391625169,7.70500587994008,3.7824300705389
"27",1305,"FIG_UW_DNA_17",37.2451894166667,-73.43255,36286.323521625,87715229.6650005,17024.4191139938,"27.3261666666667",5,4.55975493671377,7.94307500977951,4.23109781172458
"28",1305,"FIG_UW_DNA_17",37.2451894166667,-73.43255,32448.676463625,98519405.3979761,8293.77205704375,"27.3261666666667",5,4.51121037106665,7.99352178645107,3.91880445597481
"29",1306,"FIG_UW_DNA_18",37.1675199722222,-73.3393136944444,172307.113575905,10155724.9737093,3361.704544275,"27.2723333333333",5,5.23630572781531,7.00671097403395,3.52668871077943
"30",1306,"FIG_UW_DNA_18",37.1675199722222,-73.3393136944444,184775.86357153,9174023.04223559,5459.04545263,"27.2723333333333",5,5.26664759106017,6.96255987394689,3.73719625804251
"31",1307,"FIG_UW_DNA_19",37.0933219444444,-73.2534389722222,401289.389619769,12943404926.6342,71.9558823375,"27.4375",5,5.60345875907328,10.112048538061,1.86306031423803
"32",1307,"FIG_UW_DNA_19",37.0933219444444,-73.2534389722222,442521.82343445,12561339102.6427,344.36029404375,"27.4375",5,5.64593567466328,10.0990359399046,2.53827240541171
"33",1308,"FIG_UW_DNA_20",37.0212305277778,-73.1622895833333,330991.009601419,52427243.9977879,439.81730767375,"27.5",5,5.51981750970352,7.71955703654846,2.64425863774854
"34",1308,"FIG_UW_DNA_20",37.0212305277778,-73.1622895833333,344613.951908536,40026923.1617726,906.9807691925,"27.5",5,5.53733411638102,7.60235221836159,2.95807665036908
"35",1309,"FIG_UW_DNA_21",36.9462195833333,-73.0786614444444,888231.09375,18611932.21875,1281.515625,"27.58",5,5.94852646112173,7.2697914855773,3.10806266486373
"36",1309,"FIG_UW_DNA_21",36.9462195833333,-73.0786614444444,666958.5,43683377.765625,354.65625,"27.58",5,5.82409946291125,7.64031622224514,2.55103044502223
"37",1310,"FIG_UW_DNA_22",36.8719233333333,-72.9908041944445,1244451.28649766,0,1341.46323500625,"27.7",5,6.09497824999401,0,3.12790240085014
"38",1310,"FIG_UW_DNA_22",36.8719233333333,-72.9908041944445,701753.168967056,0,712.7058822,"27.7",5,5.84618500136207,0,2.85351927612708
"39",1311,"FIG_UW_DNA_23",36.7967110277778,-72.9020315555556,385361.666699887,0,1337.2222223375,"27.7098333333333",5,5.58586963862358,0,3.12652823743881
"40",1311,"FIG_UW_DNA_23",36.7967110277778,-72.9020315555556,717630.777839642,0,613.83333338625,"27.7098333333333",5,5.85590166168993,0,2.78875740488054
"41",1312,"FIG_UW_DNA_24",36.7206201666667,-72.8093880833333,203760.749928505,27801900.2629722,934.022726945,"27.6963333333333",5,5.30912266174075,7.44407449662971,2.97082216709375
"42",1312,"FIG_UW_DNA_24",36.7206201666667,-72.8093880833333,239279.522643315,10845998.8598307,965.113636025,"27.6963333333333",5,5.37890734862264,7.03526959448679,2.98502821191869
"43",1313,"FIG_UW_DNA_25",36.6424609166667,-72.7148166388889,272395.846141686,24064459.9989257,522.307692284375,"27.77",5,5.43520207493241,7.38137613869928,2.71875711863438
"44",1313,"FIG_UW_DNA_25",36.6424609166667,-72.7148166388889,254014.923065583,25367024.3065598,511.538461515625,"27.77",5,5.40486094135525,7.40426954216493,2.70972646094195
"45",1314,"FIG_UW_DNA_26",36.5726195,-72.6654465,515811.84375,0,167.7578125,"27.87",5,5.71249215187773,0,2.22726388726367
"46",1314,"FIG_UW_DNA_26",36.5726195,-72.6654465,358690.046875,0,216.296875,"27.87",5,5.5547205365831,0,2.33705348066928
"47",1315,"FIG_UW_DNA_27",36.550637,-72.5209482222222,220246.767862265,0,33.017857143625,"27.7691666666667",5,5.34291151567653,0,1.53170695301524
"48",1315,"FIG_UW_DNA_27",36.550637,-72.5209482222222,199725.017861788,0,203.482142861875,"27.7691666666667",5,5.30043464312708,0,2.31065538767261
"49",1316,"FIG_UW_DNA_28",36.5233065,-72.3920508611111,194704.583324483,0,610.49999997225,"27.81",5,5.28937840540933,0,2.7863964613526
"50",1316,"FIG_UW_DNA_28",36.5233065,-72.3920508611111,238431.416655829,0,803.916666630125,"27.81",5,5.37736530063898,0,2.90575092000007
"51",1317,"FIG_UW_DNA_29",36.4864379444444,-72.2749592222222,500604.053598488,0,246.776785727625,"28.062",5,5.69949522948886,0,2.39406061478151
"52",1317,"FIG_UW_DNA_29",36.4864379444444,-72.2749592222222,392014.339306904,0,193.258928581875,"28.062",5,5.59330306101537,0,2.28838098909316
"53",1318,"FIG_UW_DNA_30",36.4047250277778,-72.2741575555556,383054.013128985,1964403.15774648,212.697368405,"28.09",5,5.58326115042457,6.29323084466362,2.32979917403948
"54",1318,"FIG_UW_DNA_30",36.4047250277778,-72.2741575555556,570429.934167475,2754529.94716053,145.052631568,"28.09",5,5.75620306904219,6.4400476560361,2.16450938647331
"55",1319,"FIG_UW_DNA_31",36.3324749166667,-72.2402793888889,231174.57445992,15533231.4489195,489.143617004,"28.2025",5,5.36394194550257,7.19126184134674,2.69032335132164
"56",1319,"FIG_UW_DNA_31",36.3324749166667,-72.2402793888889,215623.180843448,24151329.9486151,132.52659574,"28.2025",5,5.33369746253516,7.38294106915427,2.12556777680733
"57",1320,"FIG_UW_DNA_32",36.2936523333333,-72.1244366666667,340487.583317857,0,148.49999999325,"28.1898333333333",5,5.53210255447148,0,2.17464119264084
"58",1320,"FIG_UW_DNA_32",36.2936523333333,-72.1244366666667,278043.333320695,0,69.6666666635,"28.1898333333333",5,5.44411404836947,0,1.84921460618963
"59",1321,"FIG_UW_DNA_33",36.1903405277778,-72.1389556388889,247815.08654541,0,0,"28.0425",5,5.39412949441756,0,0
"60",1321,"FIG_UW_DNA_33",36.1903405277778,-72.1389556388889,258423.519238015,0,0,"28.0425",5,5.41233371700334,0,0
"61",1322,"FIG_UW_DNA_34",36.1001595,-72.1087410277778,219507.09375,0,89.25,"28.1968333333333",5,5.34145053827362,0,1.9554472105777
"62",1322,"FIG_UW_DNA_34",36.1001595,-72.1087410277778,282276.75,0,13.125,"28.1968333333333",5,5.45067664706988,0,1.14998845649148
"63",1323,"FIG_UW_DNA_35",36.0522276111111,-71.9962502222222,153478.868044081,0,28.236111109,"28.33",5,5.18605141713722,0,1.46591960370906
"64",1323,"FIG_UW_DNA_35",36.0522276111111,-71.9962502222222,142126.465267152,0,28.236111109,"28.33",5,5.1526780108014,0,1.46591960370906
"65",1324,"FIG_UW_DNA_36",36.0036845833333,-71.88476,202284.07691349,0,0,"28.38",5,5.30596384493997,0,0
"66",1324,"FIG_UW_DNA_36",36.0036845833333,-71.88476,177139.233965964,0,0,"28.38",5,5.24831721395621,0,0
"67",1325,"FIG_UW_DNA_37",35.9636397222222,-71.7680134166667,420648.267866925,0,0,"28.4401666666667",5,5.62392013736994,0,0
"68",1325,"FIG_UW_DNA_37",35.9636397222222,-71.7680134166667,306947.053578567,0,0,"28.4401666666667",5,5.48706488377343,0,0
"69",1326,"FIG_UW_DNA_38",35.9410678888889,-71.6664988055556,195222.064650756,0,6.668103448125,"28.1256666666667",5,5.29053112613193,0,0.884687963184481
"70",1326,"FIG_UW_DNA_38",35.9410678888889,-71.6664988055556,163448.55172044,0,297.206896545,"28.1256666666667",5,5.21338373381448,0,2.47451768303651
"71",1327,"FIG_UW_DNA_39",35.8473295555556,-71.7422774444444,429612.888269482,0,47.1118421175,"28.02",5,5.63307831249901,0,1.68225198558993
"72",1327,"FIG_UW_DNA_39",35.8473295555556,-71.7422774444444,368388.769832528,0,9.118421055,"28.02",5,5.56630756135388,0,1.0051127476223
"73",1328,"FIG_UW_DNA_40",37.3215159444444,-73.5147823611111,281480.717583757,0,64.00925925725,"27.48",5,5.44945019240109,0,1.8129752175343
"74",1328,"FIG_UW_DNA_40",37.3215159444444,-73.5147823611111,200961.199067766,0,90.851851849,"27.48",5,5.30311437443454,0,1.96308791665374
"75",1329,"FIG_UW_DNA_41",35.6271315833333,-71.8216189166667,415362.500088375,0,0,"27.6155",5,5.61842833041124,0,0
"76",1329,"FIG_UW_DNA_41",35.6271315833333,-71.8216189166667,239239.791717569,0,0,"27.6155",5,5.37883523094958,0,0
"77",1330,"FIG_UW_DNA_42",35.5839708333333,-71.70053175,592162.42120644,0,39.513157905,"27.5303333333333",5,5.77244157688165,0,1.60759609673243
"78",1330,"FIG_UW_DNA_42",35.5839708333333,-71.70053175,635728.717270387,0,120.0592105575,"27.5303333333333",5,5.80327251305842,0,2.08299783749625
"79",1331,"FIG_UW_DNA_43",35.5650448611111,-71.5541827222222,920392.603427453,0,8.573275861875,"27.424",5,5.96397359173736,0,0.981060573648775
"80",1331,"FIG_UW_DNA_43",35.5650448611111,-71.5541827222222,694720.16808773,0,12.383620689375,"27.424",5,5.8418105319874,0,1.12657361961261
"81",1332,"FIG_UW_DNA_44",35.5616062222222,-71.3974301666667,420327.416647561,0,0,"27.3528333333333",5,5.62358875183283,0,0
"82",1332,"FIG_UW_DNA_44",35.5616062222222,-71.3974301666667,350781.749984055,0,0,"27.3528333333333",5,5.54503822844846,0,0
"83",1333,"FIG_UW_DNA_45",35.5636786388889,-71.2518813333333,381486.187520621,0,6.937500000375,"27.3298333333333",5,5.58147995649133,0,0.89968373832055
"84",1333,"FIG_UW_DNA_45",35.5636786388889,-71.2518813333333,371347.526805787,0,17.83928571525,"27.3298333333333",5,5.56978170534496,0,1.27506443264974
"85",1334,"FIG_UW_DNA_46",35.4769080555556,-71.2170493888889,183150.529398198,0,15.88235294,"27.3",5,5.26281054957127,0,1.22743297532545
"86",1334,"FIG_UW_DNA_46",35.4769080555556,-71.2170493888889,162235.852929159,0,13.499999999,"27.3",5,5.2101495132896,0,1.16136800220502
"87",1335,"FIG_UW_DNA_47",35.3591181944444,-71.2595979444445,107756.46428822,0,18.428571429,"27.26",5,5.03244736316602,0,1.28844086836554
"88",1335,"FIG_UW_DNA_47",35.3591181944444,-71.2595979444445,73982.2678588634,0,6.142857143,"27.26",5,4.86913351029552,0,0.853871964330448
"89",1336,"FIG_UW_DNA_48",35.2504366944444,-71.2950683333333,152106.9375,0,0,"27.2715",5,5.18215187758032,0,0
"90",1336,"FIG_UW_DNA_48",35.2504366944444,-71.2950683333333,116962.78125,0,0,"27.2715",5,5.06805139987939,0,0
"91",1337,"FIG_UW_DNA_49",35.1706369444444,-71.2554648333333,419432.971607198,0,40.9659090925,"27.299",5,5.62266360277227,0,1.62289663551727
"92",1337,"FIG_UW_DNA_49",35.1706369444444,-71.2554648333333,508858.039792489,0,8.1931818185,"27.299",5,5.70659749408802,0,0.963465849477135
"93",1338,"FIG_UW_DNA_50",35.1399575833333,-71.1144544166667,448687.96875,0,0,"27.3801666666667",5,5.65194539231022,0,0
"94",1338,"FIG_UW_DNA_50",35.1399575833333,-71.1144544166667,509066.90625,0,0,"27.3801666666667",5,5.70677571817684,0,0
"95",1339,"FIG_UW_DNA_51",35.0970043055556,-70.9832806111111,382547.963707931,0,75.060483870625,"27.45",5,5.58268702983537,0,1.8811590839164
"96",1339,"FIG_UW_DNA_51",35.0970043055556,-70.9832806111111,332209.754030741,0,181.91129032175,"27.45",5,5.52141368693721,0,2.2622405134212
"97",1208,"FIG_St0_C1_75m_A",33.4927666666667,-68.9979,1194.88736495928,0,0,"20.663",75,3.07769027741142,0,0
"98",1208,"FIG_St0_C1_75m_A",33.4927666666667,-68.9979,0,0,0,"20.663",75,0,0,0
"99",1209,"FIG_St0_C1_75m_B",33.4927666666667,-68.9979,0,0,0,"20.663",75,0,0,0
"100",1209,"FIG_St0_C1_75m_B",33.4927666666667,-68.9979,0,0,0,"20.663",75,0,0,0
"101",1211,"FIG_St0_C1_25m_A",33.4927666666667,-68.9979,0,0,0,"26.788",25,0,0,0
"102",1211,"FIG_St0_C1_25m_A",33.4927666666667,-68.9979,0,0,0,"26.788",25,0,0,0
"103",1215,"FIG_St0_C1_5m_A",33.4927666666667,-68.9979,0,0,0,"27.036",5,0,0,0
"104",1215,"FIG_St0_C1_5m_A",33.4927666666667,-68.9979,0,0,0,"27.036",5,0,0,0
"105",1224,"FigSt1_C2_5mA",35.1005333333333,-70.99585,149209.625,0,0,"28.225",5,5.1737997495078,0,0
"106",1224,"FigSt1_C2_5mA",35.1005333333333,-70.99585,238288.625,0,0,"28.225",5,5.37710513381377,0,0
"107",1227,"FigSt1_C2_25mA",35.1005333333333,-70.99585,352456.978246895,0,0,"28.216",10,5.54710734571503,0,0
"108",1227,"FigSt1_C2_25mA",35.1005333333333,-70.99585,290964.652162377,308808990.156235,0,"28.216",10,5.46384172452964,8.48968993658822,0
"109",1230,"FigSt1_C2_75mA",35.1005333333333,-70.99585,294538.819468888,0,0,"27.006",30,5.46914401629322,0,0
"110",1230,"FigSt1_C2_75mA",35.1005333333333,-70.99585,286077.041690407,0,0,"27.006",30,5.45648452422027,0,0
"111",1233,"FigSt1_C2_100mA",35.1005333333333,-70.99585,11387.250000945,0,0,"23.872",60,4.05645699244393,0,0
"112",1233,"FigSt1_C2_100mA",35.1005333333333,-70.99585,4602.4305559375,0,0,"23.872",60,3.66308159608083,0,0
"113",1236,"FigSt2_C2_5mA",35.5872,-71.7299833333333,334308,0,0,"26.6",5,5.52414806847927,0,0
"114",1236,"FigSt2_C2_5mA",35.5872,-71.7299833333333,222306,0,0,"26.6",5,5.34695313797344,0,0
"115",1239,"FigSt2_C2_25mA",35.5872,-71.7299833333333,48021,0,0,"25.54",30,4.68144024341106,0,0
"116",1239,"FigSt2_C2_25mA",35.5872,-71.7299833333333,28296,0,0,"25.54",30,4.45174039479963,0,0
"117",1242,"FigSt2_C2_75mA",35.5872,-71.7299833333333,60576,0,0,"16.59",75,4.78230776163951,0,0
"118",1242,"FigSt2_C2_75mA",35.5872,-71.7299833333333,60213,0,0,"16.59",75,4.77969747823233,0,0
"119",1245,"FigSt2_C2_100mA",35.5872,-71.7299833333333,3292.562037375,0,0,"15.27",100,3.5176658482044,0,0
"120",1245,"FigSt2_C2_100mA",35.5872,-71.7299833333333,2298.6652455,0,0,"15.27",100,3.36166462183802,0,0
"121",1256,"FigSt3_C2_5mA",36.1076833333333,-72.1438,133426.057132594,0,0,"26.7",5,5.12524390733058,0,0
"122",1256,"FigSt3_C2_5mA",36.1076833333333,-72.1438,186487.847604702,0,0,"26.7",5,5.27065286526772,0,0
"123",1259,"FigSt3_C2_25mA",36.1076833333333,-72.1438,87360.88889642,0,0,"24.48",35,4.94132201556698,0,0
"124",1259,"FigSt3_C2_25mA",36.1076833333333,-72.1438,57463.5000049538,0,0,"24.48",35,4.75939963228588,0,0
"125",1262,"FigSt3_C2_75mA",36.1076833333333,-72.1438,0,0,0,"22.29",75,0,0,0
"126",1262,"FigSt3_C2_75mA",36.1076833333333,-72.1438,0,0,0,"22.29",75,0,0,0
"127",1265,"FigSt3_C2_100mA",36.1076833333333,-72.1438,127696.24204625,0,0,"21.11",100,5.1061815176469,0,0
"128",1265,"FigSt3_C2_100mA",36.1076833333333,-72.1438,137748.199608125,0,0,"21.11",100,5.13908908406259,0,0
"129",1272,"FigSt6_C2_5mA",36.8889166666667,-73.0027,1101.4912691555,0,0,"28.7",5,3.04237515889035,0,0
"130",1272,"FigSt6_C2_5mA",36.8889166666667,-73.0027,1765.39847607125,0,0,"28.7",5,3.24708868136946,0,0
"131",1275,"FigSt6_C2_25mA",36.8889166666667,-73.0027,47637,0,0,"26.63",35,4.67795352008201,0,0
"132",1275,"FigSt6_C2_25mA",36.8889166666667,-73.0027,48685.5,1.47375e+15,0,"26.63",35,4.68740855488433,15.1684238181031,0
"133",1278,"FigSt6_C2_75mA",36.8889166666667,-73.0027,3018.34615359462,0,0,"26.12",75,3.47991290566247,0,0
"134",1278,"FigSt6_C2_75mA",36.8889166666667,-73.0027,4340.19230733063,8896153845412.5,0,"26.12",75,3.63760902476122,12.9492022847637,0
"135",1281,"FigSt6_C2_100mA",36.8889166666667,-73.0027,7211.89583212125,1245350504003.2,0,"24.12",100,3.85810966020038,12.0952916008546,0
"136",1281,"FigSt6_C2_100mA",36.8889166666667,-73.0027,9896.83333167,0,0,"24.12",100,3.99554013650833,0,0
"137",1288,"FigSt8_C2_5mA",37.3456833333333,-73.5469333333333,3807.081967689,182651.016416274,0,"26.68",5,3.58070628785632,5.26162447103809,0
"138",1288,"FigSt8_C2_5mA",37.3456833333333,-73.5469333333333,3769.573770963,148506.885264465,0,"26.68",5,3.57640744214287,5.17174951382783,0
"139",1291,"FigSt8_C2_25mA",37.3456833333333,-73.5469333333333,3846.65471418939,4400703.96374242,0,"18.557",35,3.58519609183498,6.64352225315424,0
"140",1291,"FigSt8_C2_25mA",37.3456833333333,-73.5469333333333,3402.55964810672,9244049.78457304,0,"18.557",35,3.53193336611047,6.96586232272218,0
"141",1292,"FigSt8_C2_25mB",37.3456833333333,-73.5469333333333,0,0,0,"18.557",35,0,0,0
"142",1292,"FigSt8_C2_25mB",37.3456833333333,-73.5469333333333,11235,0,0,"18.557",35,4.05061173052954,0,0
"143",1294,"FigSt8_C2_75mA",37.3456833333333,-73.5469333333333,421283.178642832,0,0,"14.297",75,5.62457514947307,0,0
"144",1294,"FigSt8_C2_75mA",37.3456833333333,-73.5469333333333,381770.035778993,0,0,"14.297",75,5.58180297623545,0,0
"145",1295,"FigSt8_C2_75mB",37.3456833333333,-73.5469333333333,0,0,0,"14.297",75,0,0,0
"146",1295,"FigSt8_C2_75mB",37.3456833333333,-73.5469333333333,0,0,0,"14.297",75,0,0,0
"147",1297,"FigSt8_C2_100mA",37.3456833333333,-73.5469333333333,0,0,0,"14.292",100,0,0,0
"148",1297,"FigSt8_C2_100mA",37.3456833333333,-73.5469333333333,0,0,0,"14.292",100,0,0,0
"149",1298,"FigSt8_C2_100mB",37.3456833333333,-73.5469333333333,981.12500020875,0,0,"14.292",100,2.99216676624526,0,0
"150",1298,"FigSt8_C2_100mB",37.3456833333333,-73.5469333333333,538.54166678125,0,0,"14.292",100,2.73202498924956,0,0
